slug,display_name,wikipedia_article,image_url,license,author,description_url
ny-ivan-brunetti,Ivan Brunetti,Ivan Brunetti,https://upload.wikimedia.org/wikipedia/commons/2/20/Ivanbrunetti.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,CC BY-SA 2.0,Karen Green,https://commons.wikimedia.org/wiki/File:Ivanbrunetti.jpg
ny-charles-alston,Charles Alston,Charles Alston,https://upload.wikimedia.org/wikipedia/commons/a/a8/Archives_of_American_Art_-_Charles_Alston_-_2465_CROPPED.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Public domain,Andrew Herman,https://commons.wikimedia.org/wiki/File:Archives_of_American_Art_-_Charles_Alston_-_2465_CROPPED.jpg
ny-marisa-acocella-marchetto,Marisa Acocella Marchetto,Marisa Acocella Marchetto,https://upload.wikimedia.org/wikipedia/commons/6/6b/Marisa_Acocella_Marchetto_2015.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,CC BY 4.0,Larry D. Moore,https://commons.wikimedia.org/wiki/File:Marisa_Acocella_Marchetto_2015.jpg
ny-helen-e-hokinson,Helen E. Hokinson,Helen E. Hokinson,https://upload.wikimedia.org/wikipedia/commons/e/e9/Helen_Hokinson_Nickolas_Muray_Photo_inscribed_To_Harold_W_Ross.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Public domain,Unknown authorUnknown author,https://commons.wikimedia.org/wiki/File:Helen_Hokinson_Nickolas_Muray_Photo_inscribed_To_Harold_W_Ross.jpg
ny-matthew-diffee,Matthew Diffee,Matthew Diffee,https://upload.wikimedia.org/wikipedia/commons/8/8e/Matthew_Diffee_2015.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,CC BY 4.0,Larry D. Moore,https://commons.wikimedia.org/wiki/File:Matthew_Diffee_2015.jpg
ny-liana-finck,Liana Finck,Liana Finck,https://upload.wikimedia.org/wikipedia/commons/1/1c/Liana_Finck_%2830817591717%29_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,CC BY 2.0,kellywritershouse,https://commons.wikimedia.org/wiki/File:Liana_Finck_(30817591717)_(cropped).jpg
ny-glen-baxter,Glen Baxter,Glen Baxter (artist),https://upload.wikimedia.org/wikipedia/commons/a/aa/Glen_Baxter%2C_tekenaar%2C_1992_-_04.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,CC0,Fotopersbureau De Boer,"https://commons.wikimedia.org/wiki/File:Glen_Baxter,_tekenaar,_1992_-_04.jpg"
ny-carl-rose,Carl Rose,Carl Rose (cartoonist),https://upload.wikimedia.org/wikipedia/commons/e/ed/ItsBroccoliCarlRose.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Public domain,Carl Rose (1903 - 1971),https://commons.wikimedia.org/wiki/File:ItsBroccoliCarlRose.jpg
ny-barbara-shermund,Barbara Shermund,Barbara Shermund,https://upload.wikimedia.org/wikipedia/commons/5/5a/TheNewYorker3Oct1925.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Public domain,Barbara Shermund (1899–1978),https://commons.wikimedia.org/wiki/File:TheNewYorker3Oct1925.jpg
ny-stan-hunt,Stan Hunt,Stan Hunt,https://upload.wikimedia.org/wikipedia/commons/e/e2/Stan_Hunt%2C_cartoonist.gif?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,CC BY-SA 3.0,Shuntmb,"https://commons.wikimedia.org/wiki/File:Stan_Hunt,_cartoonist.gif"
